BOL_game_id,week,player_name,position,team,proj_passingYards,proj_passingCompletions,proj_passingTouchdowns,proj_passingAttempts,proj_passingInterceptions,proj_rushingYards,proj_rushingAttempts,proj_receivingYards,proj_receivingReceptions,proj_defensiveTotalTackles,proj_defensiveSacks,proj_defensiveInterceptions,proj_rushingTouchdowns,proj_receivingTouchdowns,BetTimeStamp,NFL_game_id,officialDate,Location
259327,1,Bryce Young,QB,CAR,218.5,20.865,0.9450000000000002,31.5,0.4850000000000001,17.902499999999996,2.9750000000000005,,,,,,0.18104350044648554,0.0,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Away
259334,1,Jordan Love,QB,GB,224.67500000000007,20.425000000000008,1.3724999999999996,31.72,0.5,4.5,,,,,,,0.18104350044648554,0.0,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Home
259323,1,Jalen Royals,WR,KC,,,,,,,,,,,,,0.0,0.18104350044648554,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Away
259323,1,Justin Herbert,QB,LAC,234.5,20.425000000000008,1.1625,31.82500000000001,0.3725,14.725000000000005,4.1125,,,,,,0.18104350044648554,0.0,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Home
259330,1,Jermaine Burton,WR,CIN,,,,,,,,,,,,,0.0,0.18104350044648554,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Away
259337,1,Luther Burden III,WR,CHI,,,,,,,,,,,,,0.0,0.18104350044648554,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Home
259336,1,Justice Hill,RB,BAL,,,,,,,,,,,,,0.18104350044648554,0.0,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Away
259326,1,Nick Westbrook-Ikhine,WR,MIA,,,,,,,,,,,,,0.0,0.18104350044648554,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Away
259333,1,Chig Okonkwo,TE,TEN,,,,,,,,31.849999999999998,3.325000000000001,,,,0.0,0.18104350044648554,2025-09-04T14:12:53.294042,2025_01_TEN_DEN,2025-09-07,Away
259324,1,Baker Mayfield,QB,TB,241.89499999999992,20.855000000000004,1.7774999999999999,33.474999999999994,0.5,14.647500000000003,,,,,,,0.18104350044648554,0.0,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Away
259332,1,Tory Horton,WR,SEA,,,,,,,,,,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_SF_SEA,2025-09-07,Home
259325,1,Kenneth Gainwell,RB,PIT,,,,,,,,,,,,,0.19664179104477614,0.0,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Away
259326,1,DJ Giddens,RB,IND,,,,,,,,,,,,,0.19664179104477614,0.0,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Home
259336,1,Dawson Knox,TE,BUF,,,,,,,,,,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259329,1,Spencer Rattler,QB,NO,191.5,16.575000000000003,0.24000000000000044,31.414999999999996,0.7275,20.855000000000004,3.9899999999999998,,,,,,0.19664179104477614,0.0,2025-09-04T14:12:53.294042,2025_01_ARI_NO,2025-09-07,Home
259333,1,Tyler Lockett,WR,TEN,,,,,,,,21.714999999999993,1.8374999999999997,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_TEN_DEN,2025-09-07,Away
259326,1,Julian Hill,TE,MIA,,,,,,,,,,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Away
259323,1,Tyler Conklin,TE,LAC,,,,,,,,15.5,,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Home
259323,1,JuJu Smith-Schuster,WR,KC,,,,,,,,19.89,2.1975000000000002,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Away
259335,1,Blake Corum,RB,LA,,,,,,,,,,,,,0.19664179104477614,0.0,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Home
259325,1,Roman Wilson,WR,PIT,,,,,,,,,,,,,0.0,0.19664179104477614,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Away
259328,1,Jeremy McNichols,RB,WAS,,,,,,,,,,,,,0.19664179104477614,0.0,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Home
259327,1,Bhayshul Tuten,RB,JAX,,,,,,,,,,,,,0.21452702702702703,0.0,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Home
259330,1,Jamari Thrash,WR,CLE,,,,,,,,,,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Home
259336,1,Ray Davis,RB,BUF,,,,,,17.674999999999994,,,,,,,0.21452702702702703,0.0,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259329,1,Michael Wilson,WR,ARI,,,,,,,,24.735000000000007,1.9999999999999998,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_ARI_NO,2025-09-07,Away
259327,1,Tommy Tremble,TE,CAR,,,,,,,,,,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Away
259337,1,Jalen Nailor,WR,MIN,,,,,,,,,,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Away
259330,1,Harold Fannin Jr.,TE,CLE,,,,,,,,,,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Home
259330,1,Samaje Perine,RB,CIN,,,,,,,,,,,,,0.21452702702702703,0.0,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Away
