,week,player_name,playerTeam,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_passingTouchdowns,proj_passingInterceptions,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_receivingReceptions,proj_receivingYards,proj_receivingTouchdowns,proj_lostFumbles,proj_defensiveSacks,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveTouchdowns,proj_defensiveSafeties,proj_defensivePointsAllowed,proj_defensiveYardsAllowed,STD_FantasyPoints,TimeStamp
26,1,Mike Evans,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,73.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,2026-08-03 11:34:41
27,1,Puka Nacua,LAR,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.0,6.1,81.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2026-08-03 11:34:41
28,1,A.J. Brown,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,77.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2026-08-03 11:34:41
29,1,Amon-Ra St. Brown,DET,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,6.6,75.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,2026-08-03 11:34:41
30,1,Brock Bowers,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,69.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,2026-08-03 11:34:41
31,1,George Kittle,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,63.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,2026-08-03 11:34:41
32,1,Trey McBride,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,66.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,2026-08-03 11:34:41
33,1,Travis Kelce,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,52.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2026-08-03 11:34:41
34,1,Mark Andrews,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,46.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2026-08-03 11:34:41
35,1,David Njoku,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,49.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2026-08-03 11:34:41
36,1,Sam LaPorta,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,44.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2026-08-03 11:34:41
37,1,T.J. Hockenson,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,50.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,2026-08-03 11:34:41
38,1,Tyler Warren,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,41.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2026-08-03 11:34:41
39,1,Dallas Goedert,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,42.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,2026-08-03 11:34:41
40,1,Chase McLaughlin,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2026-08-03 11:34:41
41,1,Matt Gay,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2026-08-03 11:34:41
42,1,Chris Boswell,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,2026-08-03 11:34:41
43,1,Will Reichard,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,2026-08-03 11:34:41
44,1,Harrison Butker,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,2026-08-03 11:34:41
45,1,Cam Little,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,2026-08-03 11:34:41
46,1,Jake Elliott,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,2026-08-03 11:34:41
47,1,Wil Lutz,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,2026-08-03 11:34:41
48,1,Chad Ryland,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,2026-08-03 11:34:41
