player_name,stat_raw,stat,seasons,matchup_id,line,over_odds,under_odds,over_prob,under_prob,no_vig_over_prob
Jaxon Smith-Njigba,Receiving Yards,receivingYards,2026/2027,1631988286,1324.5,-113.0,-107.0,0.5305164319248826,0.5169082125603864,0.5064960374171755
Jaylen Waddle,Receiving Yards,receivingYards,2026/2027,1631988306,874.5,-114.0,-106.0,0.5327102803738317,0.5145631067961165,0.5086640097036909
Justin Jefferson,Receiving Yards,receivingYards,2026/2027,1631988289,1149.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Kyle Pitts,Receiving Yards,receivingYards,2026/2027,1631987798,774.5,-104.0,-117.0,0.5098039215686274,0.5391705069124424,0.48600223964165734
Ladd McConkey,Receiving Yards,receivingYards,2026/2027,1631987783,849.5,-112.0,-108.0,0.5283018867924528,0.5192307692307693,0.5043297540699688
Luther Burden III,Receiving Yards,receivingYards,2026/2027,1631987736,824.5,-122.0,101.0,0.5495495495495496,0.4975124378109453,0.524849107486837
Marvin Harrison Jr.,Receiving Yards,receivingYards,2026/2027,1631987801,824.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Michael Pittman Jr.,Receiving Yards,receivingYards,2026/2027,1631987718,774.5,-104.0,-116.0,0.5098039215686274,0.5370370370370371,0.48699271592091564
Nico Collins,Receiving Yards,receivingYards,2026/2027,1631987777,1074.5,-108.0,-112.0,0.5192307692307693,0.5283018867924528,0.4956702459300312
Puka Nacua,Receiving Yards,receivingYards,2026/2027,1631987754,1324.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Rome Odunze,Receiving Yards,receivingYards,2026/2027,1631987771,799.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Terry McLaurin,Receiving Yards,receivingYards,2026/2027,1631987757,949.5,-103.0,-117.0,0.5073891625615764,0.5391705069124424,0.48481627695110846
Tetairoa McMillan,Receiving Yards,receivingYards,2026/2027,1631987724,949.5,-107.0,-113.0,0.5169082125603864,0.5305164319248826,0.4935039625828245
Travis Kelce,Receiving Yards,receivingYards,2026/2027,1631988312,674.5,-112.0,-108.0,0.5283018867924528,0.5192307692307693,0.5043297540699688
Trey McBride,Receiving Yards,receivingYards,2026/2027,1631987739,999.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Tyler Warren,Receiving Yards,receivingYards,2026/2027,1631987789,724.5,-118.0,-102.0,0.5412844036697247,0.504950495049505,0.5173641257162701
Zay Flowers,Receiving Yards,receivingYards,2026/2027,1631987780,974.5,-113.0,-107.0,0.5305164319248826,0.5169082125603864,0.5064960374171755
Ashton Jeanty,Rushing Yards,rushingYards,2026/2027,1631988636,1024.5,-115.0,-106.0,0.5348837209302325,0.5145631067961165,0.5096815834767643
Bijan Robinson,Rushing Yards,rushingYards,2026/2027,1631988630,1174.5,-116.0,-104.0,0.5370370370370371,0.5098039215686274,0.5130072840790842
Breece Hall,Rushing Yards,rushingYards,2026/2027,1631988750,899.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Cameron Skattebo,Rushing Yards,rushingYards,2026/2027,1631988633,824.5,-102.0,-119.0,0.504950495049505,0.54337899543379,0.48167155425219943
Chase Brown,Rushing Yards,rushingYards,2026/2027,1631988753,824.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Christian McCaffrey,Rushing Yards,rushingYards,2026/2027,1631988315,974.5,100.0,-121.0,0.5,0.5475113122171946,0.4773218142548596
D'Andre Swift,Rushing Yards,rushingYards,2026/2027,1631988756,799.5,-115.0,-103.0,0.5348837209302325,0.5073891625615764,0.5131897120246207
David Montgomery,Rushing Yards,rushingYards,2026/2027,1631989266,824.5,-104.0,-117.0,0.5098039215686274,0.5391705069124424,0.48600223964165734
De'Von Achane,Rushing Yards,rushingYards,2026/2027,1631988741,999.5,-108.0,-112.0,0.5192307692307693,0.5283018867924528,0.4956702459300312
Derrick Henry,Rushing Yards,rushingYards,2026/2027,1631988627,1249.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Jadarian Price,Rushing Yards,rushingYards,2026/2027,1631988321,749.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Jahmyr Gibbs,Rushing Yards,rushingYards,2026/2027,1631989805,1249.5,-105.0,-115.0,0.5121951219512195,0.5348837209302325,0.4891657638136511
James Cook,Rushing Yards,rushingYards,2026/2027,1631988729,1249.5,-107.0,-113.0,0.5169082125603864,0.5305164319248826,0.4935039625828245
Javonte Williams,Rushing Yards,rushingYards,2026/2027,1631991042,999.5,104.0,-126.0,0.49019607843137253,0.5575221238938053,0.46787015568068896
Jeremiyah Love,Rushing Yards,rushingYards,2026/2027,1631988324,899.5,-105.0,-115.0,0.5121951219512195,0.5348837209302325,0.4891657638136511
Jonathan Taylor,Rushing Yards,rushingYards,2026/2027,1631988735,1249.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Kenneth Walker III,Rushing Yards,rushingYards,2026/2027,1631989556,924.5,-112.0,-108.0,0.5283018867924528,0.5192307692307693,0.5043297540699688
Kyren Williams,Rushing Yards,rushingYards,2026/2027,1631988747,999.5,-103.0,-117.0,0.5073891625615764,0.5391705069124424,0.48481627695110846
Omarion Hampton,Rushing Yards,rushingYards,2026/2027,1631991045,949.5,-109.0,-111.0,0.5215311004784688,0.5260663507109005,0.4978354041300489
Quinshon Judkins,Rushing Yards,rushingYards,2026/2027,1631989022,924.5,106.0,-129.0,0.4854368932038835,0.5633187772925764,0.4628693859400897
Rico Dowdle,Rushing Yards,rushingYards,2026/2027,1631988738,749.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Saquon Barkley,Rushing Yards,rushingYards,2026/2027,1631988345,1099.5,-100.0,-118.0,0.5,0.5412844036697247,0.48017621145374445
